iter	Passed	Remaining
0	75	75716
1	76	37982
2	76	25409
3	76	19117
4	77	15338
5	77	12814
6	77	11011
7	77	9658
8	78	8605
9	78	7762
10	78	7073
11	79	6572
12	80	6081
13	80	5659
14	80	5317
15	81	5008
16	81	4735
17	82	4492
18	82	4278
19	83	4082
20	83	3906
21	84	3747
22	84	3600
23	85	3464
24	85	3340
25	86	3225
26	86	3119
27	87	3020
28	87	2928
29	87	2842
30	88	2760
31	88	2679
32	88	2603
33	89	2531
34	89	2464
35	89	2400
36	89	2339
37	90	2282
38	90	2228
39	90	2178
40	91	2129
41	91	2082
42	91	2038
43	91	1995
44	92	1954
45	92	1915
46	92	1878
47	92	1842
48	93	1808
49	93	1775
50	93	1743
51	93	1712
52	94	1683
53	94	1654
54	94	1627
55	94	1601
56	95	1575
57	95	1551
58	95	1529
59	96	1505
60	96	1483
61	96	1461
62	96	1441
63	97	1420
64	97	1401
65	97	1382
66	97	1363
67	98	1343
68	98	1325
69	98	1309
70	98	1292
71	99	1276
72	99	1261
73	99	1245
74	99	1231
75	100	1216
76	100	1202
77	100	1189
78	100	1175
79	101	1162
80	101	1150
81	101	1137
82	101	1125
83	102	1113
84	102	1100
85	102	1089
86	102	1077
87	102	1066
88	103	1056
89	104	1055
90	104	1047
91	105	1040
92	105	1032
93	106	1024
94	106	1015
95	107	1007
96	107	1000
97	107	992
98	108	985
99	108	977
100	109	970
101	109	961
102	109	954
103	109	947
104	110	940
105	110	932
106	110	925
107	111	918
108	111	911
109	111	903
110	111	896
111	112	890
112	112	883
113	112	876
114	113	870
115	113	863
116	113	856
117	113	850
118	114	844
119	114	838
120	114	832
121	114	826
122	114	819
123	115	813
124	115	808
125	115	802
126	116	797
127	116	791
128	116	786
129	116	781
130	117	776
131	117	771
132	117	766
133	117	761
134	118	756
135	118	752
136	118	747
137	118	742
138	119	738
139	119	734
140	119	730
141	120	725
142	120	721
143	120	716
144	120	713
145	121	708
146	121	704
147	121	700
148	122	697
149	122	693
150	122	689
151	122	685
152	123	681
153	123	677
154	123	674
155	123	670
156	124	667
157	124	663
158	124	659
159	125	656
160	125	652
161	125	649
162	125	645
163	126	642
164	126	639
165	126	636
166	127	633
167	127	630
168	127	627
169	127	624
170	128	621
171	128	618
172	128	614
173	128	611
174	129	608
175	129	605
176	129	602
177	129	600
178	130	597
179	130	594
180	130	590
181	130	588
182	131	585
183	131	582
184	131	579
185	131	576
186	132	574
187	132	571
188	132	568
189	132	566
190	133	563
191	133	560
192	133	558
193	133	555
194	134	553
195	134	550
196	134	548
197	134	546
198	135	543
199	135	541
200	135	538
201	135	536
202	135	533
203	136	531
204	136	529
205	136	526
206	136	524
207	137	522
208	137	520
209	137	518
210	137	515
211	138	513
212	138	511
213	138	509
214	138	507
215	139	505
216	139	503
217	139	500
218	139	498
219	140	496
220	140	494
221	140	492
222	140	490
223	141	488
224	141	486
225	141	484
226	141	483
227	142	481
228	142	479
229	142	477
230	142	475
231	143	473
232	143	471
233	143	469
234	143	468
235	144	466
236	144	464
237	144	462
238	144	460
239	145	459
240	145	457
241	145	455
242	145	454
243	146	452
244	146	450
245	146	449
246	146	447
247	147	445
248	147	444
249	147	442
250	147	441
251	148	439
252	148	437
253	148	436
254	148	434
255	148	432
256	149	431
257	149	429
258	149	428
259	149	426
260	150	425
261	150	423
262	150	422
263	150	420
264	151	419
265	151	417
266	151	416
267	151	414
268	152	413
269	152	412
270	152	410
271	152	409
272	153	407
273	153	406
274	153	405
275	153	403
276	154	402
277	154	401
278	154	399
279	154	398
280	155	396
281	155	395
282	155	394
283	155	392
284	156	391
285	156	390
286	156	389
287	156	387
288	157	386
289	157	385
290	157	384
291	157	382
292	158	381
293	158	380
294	158	379
295	158	377
296	159	376
297	159	375
298	159	374
299	159	372
300	160	371
301	160	370
302	160	369
303	160	368
304	161	367
305	161	366
306	161	364
307	161	363
308	162	362
309	162	361
310	162	360
311	162	359
312	163	357
313	163	356
314	163	355
315	163	354
316	164	353
317	164	352
318	164	351
319	164	350
320	165	349
321	165	348
322	165	346
323	165	345
324	166	344
325	166	343
326	166	342
327	166	341
328	167	340
329	167	339
330	167	338
331	167	337
332	167	336
333	168	335
334	168	334
335	168	333
336	168	332
337	169	331
338	169	330
339	169	329
340	169	328
341	170	327
342	170	326
343	170	325
344	170	324
345	171	323
346	171	322
347	171	321
348	171	320
349	172	319
350	172	318
351	172	317
352	172	316
353	173	315
354	173	315
355	173	314
356	173	313
357	174	312
358	174	311
359	174	310
360	174	309
361	175	308
362	175	307
363	175	306
364	175	305
365	176	304
