iter	Passed	Remaining
0	59	59887
1	60	30069
2	60	20118
3	60	15148
4	61	12162
5	61	10178
6	61	8753
7	62	7688
8	62	6857
9	62	6192
10	62	5653
11	63	5199
12	63	4822
13	63	4496
14	64	4216
15	64	3965
16	64	3746
17	65	3549
18	65	3374
19	65	3221
20	66	3079
21	66	2949
22	66	2830
23	67	2725
24	67	2624
25	67	2533
26	67	2448
27	68	2369
28	68	2294
29	68	2225
30	69	2161
31	69	2099
32	69	2043
33	70	1990
34	70	1939
35	70	1894
36	71	1850
37	71	1806
38	71	1765
39	72	1729
40	72	1693
41	72	1656
42	72	1623
43	73	1591
44	73	1561
45	73	1532
46	74	1503
47	74	1475
48	74	1450
49	75	1427
50	75	1402
51	75	1381
52	76	1359
53	76	1337
54	76	1318
55	77	1298
56	77	1280
57	77	1261
58	77	1243
59	78	1225
60	78	1208
61	78	1192
62	79	1176
63	79	1162
64	79	1147
65	80	1134
66	80	1120
67	80	1106
68	80	1092
69	81	1079
70	81	1066
71	81	1053
72	82	1042
73	82	1031
74	82	1019
75	82	1008
76	83	997
77	83	987
78	83	977
79	84	967
80	84	957
81	84	948
82	84	937
83	85	929
84	85	920
85	85	912
86	86	904
87	86	896
88	86	888
89	87	881
90	87	874
91	87	866
92	88	858
93	88	852
94	88	845
95	89	839
96	89	832
97	89	825
98	89	819
99	90	812
100	90	805
101	90	799
102	91	793
103	91	787
104	91	781
105	92	776
106	92	770
107	92	764
108	92	759
109	93	754
110	93	749
111	93	744
112	94	738
113	94	733
114	94	728
115	94	723
116	95	717
117	95	713
118	95	708
119	96	704
120	96	699
121	96	694
122	96	690
123	97	685
124	97	681
125	97	677
126	97	673
127	98	669
128	98	665
129	98	661
130	99	657
131	99	653
132	99	649
133	99	645
134	100	642
135	100	638
136	100	635
137	101	632
138	101	628
139	101	625
140	102	622
141	102	618
142	102	614
143	102	611
144	103	608
145	103	605
146	103	602
147	104	599
148	104	596
149	104	593
150	104	590
151	105	587
152	105	584
153	105	581
154	106	579
155	106	576
156	106	574
157	107	572
158	107	569
159	107	566
160	108	563
161	108	561
162	108	558
163	109	555
164	109	552
165	109	550
166	109	547
167	110	545
168	110	543
169	110	540
170	111	538
171	111	535
172	111	533
173	111	531
174	112	528
175	112	526
176	112	524
177	113	522
178	113	519
179	113	517
180	114	515
181	114	513
182	114	511
183	114	509
184	115	507
185	115	505
186	115	503
187	116	501
188	116	499
189	116	497
190	117	495
191	117	494
192	117	492
193	118	490
194	118	488
195	118	486
196	118	484
197	119	483
198	119	481
199	119	479
200	120	477
201	120	475
202	120	473
203	121	472
204	121	470
205	121	468
206	121	467
207	122	465
208	122	464
209	123	462
210	123	461
211	123	459
